id,name,url,cat,domain,desc,type,size,freq,license,api,dl,reg,level,compute,projects
PH012,USGS ScienceBase,https://www.sciencebase.gov,Physics,Geophysics,Geospatial and geophysical data from USGS,Shapefile/GeoJSON/NetCDF,TB,Continuous,US Gov Public Domain,True,True,False,Intermediate,CPU,Geological feature mapping | Earthquake prediction | Terrain digital twin
PH013,IRIS Seismic Data Archive,https://ds.iris.edu,Physics,Seismology,Global seismic waveforms from thousands of stations,SEED/MiniSEED,PB,Real-time,CC-BY-4.0,True,True,False,Advanced,GPU,Earthquake waveform classification | Seismic event detection | Underground structure imaging
PH014,Chandra X-ray Data Archive,https://cxc.harvard.edu/cda,Physics,X-ray Astronomy,"X-ray observations of black holes, neutron stars, clusters",FITS,TB,Continuous,US Gov Open Data,True,True,False,Advanced,GPU,X-ray source classification | Black hole accretion modeling | Anomaly detection in X-ray images
PH015,Fermi LAT Data Server,https://fermi.gsfc.nasa.gov/ssc/data,Physics,Gamma-ray Astronomy,High-energy gamma-ray observations from Fermi LAT,FITS,TB,Weekly,US Gov Open Data,True,True,False,Advanced,GPU,Gamma-ray source detection | Pulsar timing analysis | Dark matter searches with ML
PH016,USGS Earthquake Catalog API,https://earthquake.usgs.gov/fdsnws/event/1,Physics,Geophysics,"Global earthquake catalog with magnitude, depth, location",JSON/CSV/QuakeML,GB,Real-time,US Gov Public Domain,True,True,False,Beginner,CPU,Earthquake prediction | Aftershock sequence modeling | Seismic hazard mapping
PH017,Solar Dynamics Observatory (SDO),https://sdo.gsfc.nasa.gov/data,Physics,Solar Physics,High-resolution solar imagery and magnetograms (every 12s),FITS/JPEG2000,PB,Real-time,US Gov Open Data,True,True,False,Intermediate,GPU,Solar flare prediction | Sunspot detection | Heliophysics foundation model
PH018,NOAA Space Weather Prediction Center,https://www.swpc.noaa.gov/products,Physics,Space Weather,"Solar wind, geomagnetic storm, particle flux data",JSON/CSV,GB,Real-time,US Gov Public Domain,True,True,False,Intermediate,CPU,Geomagnetic storm forecasting | Satellite drag prediction | Space weather RL agents
PH019,Planck Legacy Archive,https://pla.esac.esa.int,Physics,Cosmology,CMB temperature and polarization maps from Planck satellite,FITS/HEALPix,TB,Final release,ESA Open Access,True,True,False,Research,HPC,CMB power spectrum estimation | Cosmological parameter inference | Foreground separation with ML
PH020,Hubble Space Telescope Archive (MAST),https://mast.stsci.edu,Physics,Astronomy,All HST observations spanning UV to IR wavelengths,FITS,PB,Continuous,CC0/Public Domain,True,True,False,Intermediate,GPU,Galaxy morphology classification | Star formation analysis | Deep sky object cataloging
PH021,DESI Early Data Release,https://data.desi.lbl.gov,Physics,Cosmology,Spectroscopic survey mapping dark energy across cosmic time,FITS/HDF5,100+ TB,Annual releases,CC-BY-4.0,True,True,True,Research,HPC,Baryon acoustic oscillation detection | Galaxy redshift prediction | Field-level cosmological inference
PH022,IceCube Neutrino Observatory,https://icecube.wisc.edu/science/data,Physics,Particle Physics,High-energy neutrino event data from South Pole detector,HDF5/ROOT,TB,Annual,CC-BY-4.0,False,True,False,Research,GPU,Neutrino event classification | Directional reconstruction | Anomaly detection for BSM physics
PH023,CMS Open Data,https://opendata.cern.ch/search?experiment=CMS,Physics,High Energy Physics,"CMS detector collision data at 7, 8, 13 TeV",ROOT/CSV,PB,Periodic releases,CC0,True,True,False,Research,HPC,Higgs boson classification | Jet energy regression | GNN for particle tracking
PH024,ATLAS Open Data,https://opendata.atlas.cern,Physics,High Energy Physics,Educational and research data from the ATLAS experiment,ROOT/CSV/JSON,GB-TB,Periodic,CC-BY-4.0,False,True,False,Advanced,GPU,W/Z boson identification | Top quark production analysis | Autoencoder anomaly detection
PH025,NEON Ecological Observatory Network,https://data.neonscience.org,Physics,Climate/Ecology Physics,"Continental-scale ecological, atmospheric, and soil sensors",CSV/HDF5,TB,Continuous,CC0,True,True,False,Intermediate,CPU,Carbon flux prediction | Microbiome modeling | Digital twin of ecosystem
PH026,OpenML Repository,https://www.openml.org,Physics,Multi-domain ML,"Open repository of ML datasets, experiments, and pipelines",ARFF/CSV,GB,Continuous,CC0/CC-BY,True,True,False,Beginner,CPU,AutoML benchmarking | Meta-learning | Cross-domain transfer learning
PH027,GAIA Archive (ESA),https://gea.esac.esa.int/archive,Physics,Astrometry,"Positions, proper motions, parallaxes of 1.8 billion stars",CSV/FITS/VOTable,TB,DR releases,CC-BY-4.0,True,True,False,Intermediate,GPU,Stellar population clustering | Milky Way structure mapping | Astrometric anomaly detection
PH028,ERA5 Reanalysis (Copernicus CDS),https://cds.climate.copernicus.eu,Physics,Climate Physics,Global atmospheric reanalysis hourly 31km since 1940,NetCDF/GRIB,PB,Monthly lag,Copernicus (free),True,True,True,Intermediate,GPU,Weather downscaling | Climate attribution | Global temperature forecasting
PH029,Johns Hopkins Turbulence DB (JHTDB),http://turbulence.pha.jhu.edu,Physics,Fluid Dynamics,DNS turbulence simulations at 300+ TB scale,HDF5/API,300+ TB,Periodic,Open Access (free),True,False,True,Research,HPC,Turbulence closure modeling | Physics-informed neural networks | Fluid simulation acceleration
PH030,ALMA Science Archive,https://almascience.nrao.edu/aq,Physics,Radio Astronomy,Millimeter and submillimeter observations from ALMA,FITS,PB,Continuous,CC-BY-4.0,True,True,True,Research,HPC,Protoplanetary disk imaging | Molecular cloud detection | Radio source classification
PH031,NRAO Data Archive (VLA/VLBI),https://archive.nrao.edu,Physics,Radio Astronomy,VLA and historical radio telescope observations,FITS/UVFITS,PB,Continuous,US Gov Open Data,True,True,False,Advanced,GPU,Radio galaxy morphology classification | Pulsar profile modeling | Interferometric imaging with ML
PH032,Event Horizon Telescope Data,https://eventhorizontelescope.org/for-astronomers/data,Physics,Black Hole Physics,VLBI data underlying M87* and Sgr A* black hole images,FITS/HDF5,TB,Per paper release,CC-BY-4.0,False,True,False,Research,HPC,Black hole image reconstruction | VLBI calibration ML | Sparse aperture imaging
PH033,IEA Energy Statistics,https://www.iea.org/data-and-statistics,Physics,Energy Physics,"Global energy production, consumption, and emissions data",CSV/XLSX,GB,Annual,CC-BY-4.0,True,True,False,Beginner,CPU,Energy demand forecasting | Grid optimization with RL | Carbon emission prediction
PH034,PANGAEA Earth & Environmental Data,https://www.pangaea.de,Physics,Geophysics/Oceanography,"Publisher for Earth/environmental science, 400k+ datasets",CSV/NetCDF,PB,Continuous,CC-BY-4.0,True,True,False,Intermediate,CPU,Ocean temperature trend modeling | Sediment core analysis | Paleo-climate reconstruction
PH035,CMIP6 Climate Model Output (ESGF),https://esgf-node.llnl.gov/projects/cmip6,Physics,Climate Physics,"Coordinated climate model intercomparison output, 20+ PB",NetCDF,20+ PB,Final release,CC-BY-4.0,True,True,True,Research,HPC,ML climate emulator | Extreme event downscaling | Climate uncertainty quantification
PH036,USGS Earthquake Catalog (Historical),https://earthquake.usgs.gov/earthquakes/search,Physics,Geophysics,Historical global earthquake records from 1900s onward,CSV/GeoJSON,GB,Continuous,US Gov Public Domain,True,True,False,Beginner,CPU,Long-term seismicity analysis | Fault zone characterization | Earthquake recurrence ML
PH037,NASA OMNIWeb Solar Wind,https://omniweb.gsfc.nasa.gov,Physics,Space Physics,Solar wind and interplanetary magnetic field data at 1AU,CSV/ASCII,GB,Hourly,US Gov Public Domain,True,True,False,Intermediate,CPU,Solar wind forecasting | Geomagnetic index prediction | Causal discovery in space physics
PH038,PhysioNet Physiological Signals,https://physionet.org,Physics,Biophysics,"Physiological and biomedical signal datasets (ECG, EEG, ICU)",WFDB/CSV/HDF5,TB,Continuous,PhysioNet/CC-BY,True,True,True,Intermediate,GPU,ECG arrhythmia classification | Sleep stage detection | ICU mortality prediction
PH039,Particle Data Group (PDG),https://pdg.lbl.gov,Physics,Particle Physics,"Review of particle physics: masses, lifetimes, decay modes",CSV/JSON,MB,Annual,CC-BY-4.0,True,True,False,Intermediate,CPU,Particle property prediction | Standard model knowledge graph | Symbolic regression for particle physics
PH040,NIST Material Measurement Lab,https://www.nist.gov/mml,Physics,Materials Science,"Standard reference data for materials, spectra, thermodynamics",CSV/XML,GB,Periodic,US Gov Public Domain,True,True,False,Intermediate,CPU,Material property prediction | Spectral fingerprinting ML | Defect detection in materials
PH041,Virgo Open Data,https://www.virgo-gw.eu/open-data,Physics,Gravitational Waves,GW strain data from the Virgo detector in Italy,HDF5,TB,Per observing run,CC-BY-4.0,True,True,False,Advanced,GPU,Multi-detector GW analysis | Signal denoising with NNs | Binary neutron star detection
PH042,HEASARC High Energy Archive,https://heasarc.gsfc.nasa.gov,Physics,High Energy Astrophysics,"Master archive for X-ray, gamma-ray, and UV missions",FITS/HDF5,PB,Continuous,US Gov Open Data,True,True,False,Advanced,GPU,Multi-mission catalog merging | X-ray transient detection | High-energy source classification
PH043,ECMWF Open NWP Data,https://data.ecmwf.int,Physics,Atmospheric Physics,NWP model output free since 2022 — global forecasts,GRIB2/NetCDF,TB,6-hourly,CC-BY-4.0,True,True,False,Intermediate,GPU,NWP emulation with ML | Ensemble weather forecasting | Precipitation nowcasting
PH044,Keck Observatory Archive,https://koa.ipac.caltech.edu,Physics,Astronomy,Spectroscopic and imaging data from the Keck Telescopes,FITS,TB,Continuous,CC-BY-4.0,True,True,False,Intermediate,GPU,Stellar spectral classification | Quasar emission line fitting | Radial velocity exoplanet search
PH045,Rubin Observatory LSST Data Preview,https://data.lsst.cloud,Physics,Astronomy/Cosmology,Early data from the Legacy Survey of Space and Time,FITS/Parquet,PB,Annual previews,CC-BY-4.0,True,True,True,Research,HPC,Transient alert classification | Strong lensing detection | 10-year cosmic survey analysis
PH046,OpenFOAM CFD Tutorial Cases,https://github.com/OpenFOAM/OpenFOAM-10,Physics,Fluid Dynamics,CFD simulation cases and results from OpenFOAM solver,VTK/OpenFOAM,GB,Per release,GPL-3.0,False,True,False,Research,HPC,CFD surrogate modeling | Turbulence prediction | Physics-informed neural networks
PH047,WMAP CMB Full-Sky Maps,https://lambda.gsfc.nasa.gov/product/wmap,Physics,Cosmology,WMAP CMB temperature and polarization full-sky maps,FITS/HEALPix,GB,Final (9-year),US Gov Open Data,False,True,False,Research,HPC,CMB component separation | Cosmological parameter estimation | Non-Gaussianity detection
PH048,MODIS Land Cover Data,https://modis.gsfc.nasa.gov/data,Physics,Remote Sensing,Global land cover classification at 500m resolution,HDF4/GeoTIFF,TB,Annual,US Gov Open Data,True,True,True,Intermediate,GPU,Land cover change detection | Deforestation monitoring | Semantic segmentation of Earth
PH049,Landsat Collection 2 (USGS),https://earthexplorer.usgs.gov,Physics,Remote Sensing,50+ years of global Earth imagery at 30m resolution,GeoTIFF,PB,16-day repeat,US Gov Public Domain,True,True,True,Intermediate,GPU,Urban growth detection | Agricultural monitoring | Time-series land change analysis
PH050,Global Forest Watch,https://www.globalforestwatch.org/data,Physics,Environmental Physics,"Forest cover, loss, and gain data at 30m resolution",GeoTIFF/Shapefile,TB,Annual,CC-BY-4.0,True,True,False,Intermediate,GPU,Deforestation prediction | Carbon stock estimation | Fire risk mapping
PH051,NASA GRACE Gravity Field Data,https://gracefo.jpl.nasa.gov/data,Physics,Geophysics,"Global gravity field: groundwater, ice mass changes",NetCDF/ASCII,GB,Monthly,US Gov Open Data,True,True,False,Advanced,GPU,Groundwater depletion monitoring | Ice sheet mass balance | Sea level contribution modeling
PH052,ARGO Ocean Float Data,https://argo.ucsd.edu/data,Physics,Oceanography,Temperature and salinity profiles from 4000+ floats,NetCDF,TB,10-day cycles,CC-BY-4.0,True,True,False,Intermediate,CPU,Ocean heat content prediction | Salinity anomaly forecasting | Global ocean state estimation
PH053,SDSS Spectroscopic Survey DR18,https://www.sdss.org/dr18/spectro,Physics,Spectroscopy/Cosmology,"Optical spectra of 5M+ galaxies, quasars, and stars",FITS/CSV,TB,Annual DR,CC-BY-4.0,True,True,False,Intermediate,GPU,Spectral classification | Redshift estimation | Galaxy evolution modeling
PH054,OpenTopography LiDAR Archive,https://opentopography.org,Physics,Geophysics/Remote Sensing,High-resolution LiDAR point cloud topography,LAS/GeoTIFF,PB,Continuous,CC-BY-4.0,True,True,True,Intermediate,GPU,3D terrain reconstruction | Earthquake rupture mapping | Vegetation height estimation
PH055,Princeton Plasma Physics Lab Data,https://datashare.pppl.gov,Physics,Plasma Physics,Fusion plasma diagnostic data from NSTX-U and TFTR,HDF5/NetCDF,TB,Periodic,CC-BY-4.0,False,True,True,Research,HPC,Plasma disruption prediction | Fusion control with RL | MHD instability classification
PH056,EUROfusion Plasma Database,https://www.euro-fusion.org/databases,Physics,Plasma Physics,"European fusion data: JET, TCV, ASDEX Upgrade",HDF5/NetCDF,PB,Periodic,CC-BY-4.0,True,True,True,Research,HPC,Disruption prediction with LSTMs | ELM classification | Digital twin of tokamak
PH057,CEDA JASMIN UK Climate Archive,https://catalogue.ceda.ac.uk,Physics,Climate Physics,UK Centre for Environmental Data: CMIP6 and observations,NetCDF/GRIB,PB,Continuous,Various open,True,True,True,Intermediate,HPC,CMIP6 projection emulation | Bias correction ML | Multi-model ensemble learning
PH058,IAEA Nuclear Data Services,https://www-nds.iaea.org,Physics,Nuclear Physics,International nuclear structure and reaction data,CSV/EXFOR,GB,Continuous,Open (IAEA),True,True,False,Advanced,CPU,Nuclear reaction prediction | Isotope chart completion | Radioisotope decay modeling
PH059,ENDF Nuclear Data File,https://www.nndc.bnl.gov/endf,Physics,Nuclear Physics,Evaluated Nuclear Data File: cross-sections and decay data,ENDF/CSV,GB,Periodic versions,US Gov Public Domain,True,True,False,Advanced,CPU,Cross-section prediction | Decay chain modeling | Reactor physics emulation
PH060,CESM Large Ensemble Data,https://www.cesm.ucar.edu/community-projects/lens,Physics,Climate Physics,40-member ensemble climate simulation (CESM1),NetCDF,500+ TB,Static,CC-BY-4.0,False,True,True,Research,HPC,Internal variability quantification | Ensemble emulation | Extreme event return period estimation
PH061,VLASS Radio Sky Survey,https://science.nrao.edu/vlass,Physics,Radio Astronomy,VLA all-sky radio survey at 2–4 GHz,FITS,TB,Epoch releases,Open (NRAO),True,True,False,Intermediate,GPU,Radio transient detection | Galaxy morphology at radio wavelengths | Multi-wavelength cross-matching
PH062,MATERIALS PROJECT Database,https://materialsproject.org,Physics,Materials Science,DFT computed properties of 150k+ inorganic materials,JSON/CSV,GB,Continuous,CC-BY-4.0,True,True,True,Intermediate,GPU,Band gap prediction | Crystal stability screening | Materials knowledge graph
PH063,AFLOW Materials Science Database,https://www.aflowlib.org,Physics,Materials Science,DFT-calculated properties of 3M+ compounds,JSON/REST,TB,Continuous,CC-BY-4.0,True,True,False,Advanced,GPU,Crystal property prediction | High-throughput materials screening | GNN for crystal structures
PH064,Open Quantum Materials Database (OQMD),https://oqmd.org,Physics,Materials Science,DFT thermodynamic and electronic properties of ~1M compounds,JSON/CSV,GB,Continuous,CC-BY-4.0,True,True,False,Advanced,GPU,Formation energy prediction | Phase stability screening | Crystal graph neural networks
PH065,2MASS All-Sky Survey,https://irsa.ipac.caltech.edu/Missions/2mass.html,Physics,Infrared Astronomy,Near-infrared all-sky survey of 500M+ point sources,FITS/ASCII,TB,Static,US Gov Public Domain,True,True,False,Intermediate,GPU,Star-galaxy separation | Stellar population analysis | Multi-wavelength catalog cross-matching
PH066,XMM-Newton Science Archive,https://nxsa.esac.esa.int,Physics,X-ray Astronomy,XMM-Newton X-ray observatory science archive,FITS,TB,Continuous,ESA Open Access,True,True,False,Advanced,GPU,AGN variability classification | X-ray spectral fitting | Source catalog cross-matching
PH067,LIGO GraceDB Event Database,https://gracedb.ligo.org,Physics,Multi-messenger Astronomy,GW event alerts and sky maps in real-time,JSON/HDF5/FITS,GB,Real-time,CC-BY-4.0,True,True,False,Advanced,GPU,Real-time GW alert classification | Multi-messenger follow-up | Sky localization refinement
PH068,SOHO Solar Data Archive,https://soho.nascom.nasa.gov/data,Physics,Solar Physics,"Solar images, coronagraph, particle data from SOHO",FITS,TB,Real-time,US Gov Open Data,True,True,False,Intermediate,GPU,CME detection in coronagraph images | Solar cycle analysis | Heliospheric particle prediction
PH069,NASA GPM Precipitation,https://gpm.nasa.gov/data,Physics,Atmospheric Physics,Global precipitation rates every 30 min from GPM constellation,HDF5/NetCDF,PB,30-min global,US Gov Open Data,True,True,True,Intermediate,GPU,Rainfall nowcasting | Flood prediction | Tropical cyclone intensification
PH070,SRTM Digital Elevation Model,https://earthexplorer.usgs.gov,Physics,Geophysics,30m global DEM from Shuttle Radar Topography Mission (2000),GeoTIFF/HGT,TB,Static,US Gov Public Domain,True,True,True,Beginner,CPU,Terrain height prediction | Flood inundation modeling | Digital elevation twin
PH071,NCEP/NCAR Reanalysis,https://psl.noaa.gov/data/gridded/data.ncep.reanalysis.html,Physics,Climate Physics,Atmospheric reanalysis from NCEP/NCAR since 1948,NetCDF,TB,Monthly,US Gov Open Data,True,True,False,Intermediate,GPU,Long-term climate trend ML | ENSO prediction | Atmospheric circulation GNN
PH072,NEON Atmospheric Carbon,https://data.neonscience.org/data-products/DP1.00004.001,Physics,Atmospheric Science,Near real-time atmospheric CO2 and trace gas at NEON sites,CSV/HDF5,Streaming,1-minute,CC0,True,True,False,Intermediate,CPU,Ecosystem carbon balance | Footprint attribution ML | Flux partitioning
PH073,NASA STEREO Solar Mission,https://stereo.gsfc.nasa.gov/data,Physics,Solar Physics,Stereoscopic solar imaging and in-situ particle data,FITS/CDF,TB,Continuous,US Gov Open Data,True,True,False,Advanced,GPU,3D CME reconstruction | Solar energetic particle forecasting | Multi-viewpoint solar imaging
PH074,Ice Core Paleoclimate Data (NOAA),https://www.ncei.noaa.gov/access/paleo-search,Physics,Paleoclimatology,"Paleoclimate proxies: ice cores, tree rings, corals",CSV/ASCII,GB,Periodic,US Gov Open Data,True,True,False,Intermediate,CPU,Paleoclimate reconstruction ML | CO2-temperature cycle modeling | Long-term climate variability analysis
PH075,NCAR RDA Climate Archive,https://rda.ucar.edu,Physics,Atmospheric Science,NCAR Research Data Archive: global climate and weather,NetCDF/GRIB/HDF5,PB,Continuous,Various open,True,True,True,Intermediate,GPU,Atmospheric reanalysis ML | Climate model intercomparison | Extreme event attribution
PH076,GFZ Potsdam Geoscience Data,https://www.gfz-potsdam.de/en/data-products,Physics,Geophysics,"Geomagnetic field, GPS, and Earth deformation data",NetCDF/ASCII,TB,Continuous,CC-BY-4.0,True,True,False,Intermediate,CPU,Geomagnetic pole tracking | GPS positioning correction | Earth deformation monitoring
PH077,CALET Space Station Cosmic Ray,https://calet.physics.wm.edu/data,Physics,Cosmic Ray Physics,Cosmic ray energy spectrum and electron data from ISS,CSV/ROOT,GB,Periodic,CC-BY-4.0,False,True,False,Advanced,GPU,Cosmic ray composition classification | Energy spectrum reconstruction | Dark matter indirect detection
PH078,ESO Archive (VLT/WFI),https://archive.eso.org,Physics,Optical Astronomy,"European Southern Observatory archive: VLT, HAWK-I, SPHERE",FITS,PB,Continuous,CC-BY-4.0,True,True,True,Intermediate,GPU,Southern sky survey ML | Exoplanet direct imaging | Star-forming region analysis
PH079,HIGGS Boson ML Dataset (UCI),https://archive.ics.uci.edu/dataset/280/higgs,Physics,High Energy Physics,11M events for signal vs background classification of Higgs decays,CSV,8 GB,Static,CC-BY-4.0,False,True,False,Intermediate,GPU,Deep neural network benchmark | Feature engineering for HEP | Gradient boosting vs DNN comparison
PH080,MiniBooNE Particle Identification,https://archive.ics.uci.edu/dataset/199,Physics,Particle Physics,Neutrino signal/background classification from MiniBooNE,CSV,130 MB,Static,CC-BY-4.0,False,True,False,Beginner,CPU,Binary classification benchmarking | Physics feature importance | Neural network vs BDT comparison
PH081,Astropy Community Datasets,https://www.astropy.org/affiliated,Physics,Astronomy,Community-curated astronomy data accessible via astropy,FITS/VOTable,Various,Varies,BSD/CC-BY,True,True,False,Beginner,CPU,Stellar parameter estimation | Astrometric catalog cross-matching | Teaching ML with astronomy
PH082,Harvard Dataverse Physics,https://dataverse.harvard.edu,Physics,Multi-domain Physics,"Harvard open research repository: physics, astronomy, climate",Various,TB,Continuous,CC-BY-4.0/CC0,True,True,False,Varies,Varies,Reproducible research pipelines | Data-driven hypothesis testing | Cross-disciplinary knowledge graphs
PH083,ESS-DIVE Environmental Data,https://ess-dive.lbl.gov,Physics,Earth System Science,DOE Earth and environmental system science data,CSV/NetCDF/HDF5,TB,Continuous,CC-BY-4.0,True,True,False,Intermediate,GPU,Carbon cycle ML | Multi-site ecosystem comparison | Earth system model validation
PH084,Global Seismographic Network (GSN),https://www.fdsn.org/networks/detail/IU,Physics,Geophysics,Real-time and historical seismic waveforms from 150+ global stations,miniSEED/SEED,PB,Real-time,CC-BY-4.0,True,True,False,Advanced,GPU,Seismic phase picking | Source parameter estimation | Early warning system simulation
PH085,JAXA G-Portal Earth Observation,https://gportal.jaxa.jp,Physics,Remote Sensing,"JAXA Earth observation satellites: ALOS, GCOM, HIMAWARI",HDF5/NetCDF/GeoTIFF,PB,Continuous,JAXA Open Data,True,True,True,Intermediate,GPU,Typhoon track prediction | SAR disaster mapping | Vegetation index time series
PH086,Figshare Physics Datasets,https://figshare.com/categories/physics,Physics,Multi-domain Physics,Open repository of physics research data and datasets,Various,Varies,Continuous,CC-BY-4.0,True,True,False,Varies,Varies,Dataset discovery | Cross-paper replication | Multi-paper meta-analysis
PH087,IERS Earth Orientation Data,https://www.iers.org,Physics,Geophysics/Astrometry,"Earth rotation, polar motion, and timescale data",CSV/ASCII,MB,Daily,Open Access,True,True,False,Intermediate,CPU,Polar motion prediction | Earth rotation anomaly detection | Geodetic time series modeling
PH088,Kepler/K2 Photometry Archive,https://mast.stsci.edu,Physics,Astrophysics,Kepler and K2 mission light curves for exoplanet and stellar science,FITS,TB,Final archive,US Gov Open Data,True,True,False,Intermediate,GPU,Exoplanet transit ML | Stellar variability classification | Asteroseismology foundation model
PH089,CESM2 Climate Simulation,https://www.cesm.ucar.edu,Physics,Climate Physics,CESM2 coupled climate model output for various scenarios,NetCDF,PB,Per release,CC-BY-4.0,False,True,True,Research,HPC,Scenario comparison ML | Tipping point detection | Long-term projection emulation
PH090,EBI Protein Data Bank Europe,https://www.ebi.ac.uk/pdbe,Physics,Biophysics/Structural Biology,3D protein structure data shared with RCSB PDB,mmCIF/PDB,TB,Weekly,CC0,True,True,False,Advanced,GPU,Protein structure prediction | Binding site detection | Molecular dynamics foundation models
PH091,CAIDA Internet Topology Data,https://www.caida.org/catalog/datasets,Physics,Complex Systems,"Internet AS topology, traffic, and routing data",GraphML/CSV,GB,Periodic,CC-BY-NC-4.0,False,True,True,Intermediate,CPU,Network topology GNNs | Traffic anomaly detection | Complex network analysis
PH092,NCEP CFS Reanalysis,https://rda.ucar.edu/datasets/ds093.1,Physics,Climate Physics,CFSR/CFSv2 global reanalysis at 0.5-degree resolution,GRIB2/NetCDF,PB,Continuous,US Gov Open Data,True,True,True,Advanced,GPU,Seasonal prediction ML | Ocean-atmosphere coupling | Reanalysis bias correction
PH093,NASA POWER Renewable Energy Data,https://power.larc.nasa.gov/api,Physics,Energy/Climate,"Solar radiation, wind, and meteorological data for renewable energy",JSON/CSV,Streaming,Daily,US Gov Open Data,True,False,False,Beginner,CPU,Solar irradiance prediction | Wind resource assessment | Off-grid system design ML
PH094,NOAAAtmospheric Radiation Measurement (ARM),https://www.arm.gov/data,Physics,Atmospheric Physics,DOE ARM climate research facility observational data,NetCDF/HDF5,PB,Continuous,US Gov Open Data,True,True,True,Advanced,GPU,Cloud property retrieval ML | Aerosol-cloud interaction | Atmospheric sounding classification
PH095,MIMIC-III/IV Clinical Physics,https://physionet.org/content/mimiciv,Physics,Biophysics,ICU physiological waveforms and time-series from MIMIC,CSV/Parquet,10+ GB,Annual,PhysioNet CC-BY,False,True,True,Advanced,GPU,Physiological signal reconstruction | ICU alarm prediction | Waveform foundation model
PH096,Global Precipitation Climatology Centre,https://gpcc.dwd.de,Physics,Climatology,Global monthly precipitation analysis from 85k+ gauges,NetCDF/ASCII,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,CPU,Long-term precipitation ML | Gauge-to-satellite bias correction | Hydrological cycle analysis
PH097,CTA Open Science Data,https://www.ctao.org/science/open-data,Physics,Gamma-ray Astronomy,Cherenkov Telescope Array simulated and science verification data,FITS/HDF5,GB,Periodic,CC-BY-4.0,False,True,False,Advanced,GPU,TeV gamma-ray source detection | SED fitting | Multi-messenger astronomy
PH098,AERONET Aerosol Network (NASA),https://aeronet.gsfc.nasa.gov,Physics,Atmospheric Science,Ground-based aerosol optical depth from 500+ global sites,CSV/ASCII,GB,15-minute,US Gov Open Data,True,True,False,Intermediate,CPU,Aerosol property inversion ML | Satellite validation | Air quality forecasting
